微博正文,情感分析结果
#王冰冰新中式穿搭#王冰冰新中式穿搭，冰冰最近又熬夜了。你第四张图片里眼里全是血丝,负面
#王冰冰晒自拍#王冰冰晒自拍，会拍就多拍点。#王冰冰紫色连帽衫#,负面
#王冰冰初春妆#王冰冰初春妆好元气好好看王冰冰真的好美~#王冰冰告别冬天#,正面
#王冰冰新中式穿搭#王冰冰新中式穿搭，冰冰宝贝，春天快乐！,正面
#王冰冰新中式穿搭#王冰冰新中式穿搭，冰冰姐！春天快乐,正面
王冰冰超话希望你前途璀璨光明，希望你未来繁花似锦。但更希望你平安健康，希望你能无忧无虑，自在可爱,正面
我获得了王冰冰超话的“上上签-龙”头衔。以年为单位的热爱，永不停歇,正面
王冰冰超话天生我才必有用，我能不用就不用。晚安冰冰晚安各位小伙伴,负面
王冰冰超话怎么突然被夹了微博正文,负面
王冰冰超话经过我的发现，如果一个人头大的话，那么她的头一定不小晚安～,负面
王冰冰超话p1冰冰vlog013有配音也看到小品了p2因为看了一些蕾子发型教程，可想去剪头发，当时一定是冲动才自己上手后来第二天又去调整了喜欢做菜么？油不听话的时候锅盖一扔人就跑了p3我可真夸张东西南北还是会区分滴p4🈶总结但是看了不开心🙁p5回过头发现还挺好笑，可当时的确很孩怕p6确实没卡着鱼刺可那条🐟有手掌那么大而且吃得巨慢嗯确实笨蛋（刚去回忆一下很努力的氵一条下一次前排我来了氵氵氵）,正面
#曝李金铭男友有女朋友#这不就是王冰冰和土土吗…坐等实锤写小作文有什么用,负面
你好生活第3季撒贝宁王冰冰搭档洗菜，两人动作完全不同步，毫无默契可言尼格买提你好生活娱乐明星搞笑男神女神#娱乐#L暴力媄学的微博视频,正面
#曝李金铭男友有女朋友#怎么感觉又来个土土，干嘛非要招惹女明星，神经！说不定各种误导说好朋友之类，不会又像土土一样让王冰冰自己观察是不是情侣衣服吧！再也不信这种大婆了，撕来撕去全程保护罪魁祸首男的，转头还是会和亲亲老公复合。,负面
王冰冰超话双曲混剪，跨次元联动来喽！好久没做童年动画主题曲的混剪了，上一次做的还是快乐星猫，那今天给大家带来的是最近在网络上翻红的《神奇阿呦》动画主题曲《阿呦阿呦》，以及动画片尾曲《我和你》的冰冰联动混剪！双份歌曲，跨次元联动，双倍快乐！歌词不仅和本尊阿呦很搭，和冰冰也很搭！希望大家喜欢这次的动画联动混剪，感谢各位支持哦~<［神奇阿呦×@吃花椒的喵酱］>［阿呦阿呦，爱吃甜甜的糖葫芦~🍡］L吃她喵的花椒的微博视频,正面
《庄雅初邢墨亭》（大结局完整版最新已完本）《庄雅初邢墨亭》小说全文阅读❗书名：《庄雅初邢墨亭》庄雅初邢墨亭❗主角：庄雅初邢墨亭《庄雅初邢墨亭》全文请到公#众#号〖神山文学〗发个庄雅初邢墨亭，就行了　“嗯，刚下。”她说。　　李梦走进去跟几人说：“梁书儿，昨天搬过来的室友。”　　她说着指着刚才聊八卦的两人说：“郑彩和王冰冰，郑彩是隔壁宿舍的，王冰冰是我们宿舍的。”　　李梦说完看向看向那一大堆书籍后面坐着的的人：“这位就是我昨天跟你说过的王娇，昨天的那些书都是她的。”　　梁书儿一一点头：“大家好，我叫梁书儿，是新转来的室友。”　　在这之前梁书儿没什么机会这样跟同学相处，所以一时间有点局促，很是不习惯。　　除了祝萌，她跟陌生人都不知道该怎么去相处，因为无论对谁，她都没有去深入了解或者认识一下成为朋友的想法。　　可她毕竟还要在这住上一年，有些关系该维持的还是要维持的。　　想着，梁书儿忽然拿出手机说：“我请大家喝奶茶吧，你们喜欢什么口味的？”　　王娇头也不抬：“我不喝。”　　“我喝我喝。”郑彩举手：“梁书儿，你长的可真好看。”　　梁书儿一愣：“……谢谢。”　　王冰冰的目光在梁书儿的身上上上下下打量了一圈后说：“我要跟郑彩一样的，谢谢。”　　李梦凑到梁书儿的身边说：“点学校门口的，又近又便宜又好喝。”　　王冰冰开口：“李梦，你看新舍友是贪这种小便宜的人吗？”　　李梦抬头：“我们平时喝的不都是那个吗？”　　“新舍友不是要请客吗？那肯定是要请好点的啊。”王冰冰说。　　梁书儿抬头看了她一眼，把手机递过去，说：“其他都太远了，我点的学校门口的。”　　虽然王娇说不喝，可梁书儿想了想还是给她点了一杯。　　刚点完，梁书儿就接到外卖小哥的电话。　　“这么快？”李梦问。　　“应该是我的午饭。”梁书儿说着一边接通电话一边往外走。　　刚出宿舍，她脸上始终维持着的礼貌的笑容收敛，有点累的叹了口气。　　直觉告诉她，她的这几个室友，除了李梦，其他两个好像都不怎么好相处。　　王娇从她进门到现在眼睛就没从她面前的课本上移开过，一边啃着一个馒头一边学习，生怕耽误时间。　全文请到公#众#号〖神山文学〗发个庄雅初邢墨亭，就行了,正面
热推《庄雅初邢墨亭》~小说全文阅读~完本【已完结】笔趣阁❗书名：《庄雅初邢墨亭》庄雅初邢墨亭❗主角：庄雅初邢墨亭《庄雅初邢墨亭》全文请到公#众#号〖神山文学〗发个庄雅初邢墨亭，就行了　味道的确很不错，只不过不知道是不是因为经过打包盒的密封之后又在路上耽搁了时间，味道没有很夸张的好喝。　　“你真的点的外卖吗？摘星楼怎么可能送外卖，你在哪里点的？”王冰冰在一旁问。　　梁书儿喝汤的动作顿了顿，抬头：“我也不清楚，我男朋友给我点的。”　　“你男朋友点的？”王冰冰脸上的笑容在瞬间变得有点怪异：“你不是刚回国吗？这么快就有男朋友了？”　　梁书儿抬头：“刚回国就不能有男朋友吗？”　　“我见过梁书儿男朋友，长的很帅。”李梦在一旁说。　　“你的眼光那么低，是个男的你都觉得帅。”王冰冰说。　　李梦推了推鼻梁上的眼镜：“真的很帅，不信你下次看看不就行了？”　　王冰冰没再说话，却是拿出手机打开相机问梁书儿：“梁书儿，我能拍一张照吗？”　　梁书儿正要问拍什么照，就见王冰冰已经拿着手机对着一旁送过来的外卖袋子和梁书儿正在喝的汤和两个菜一顿“咔嚓”拍了好几张。　　“谢啦。”王冰冰说完，抱着手机笑着回到了自己的桌子前。　　梁书儿：“……”　　她忽然感觉自己没什么胃口了。　　可也不能浪费粮食，她还是强迫自己吃了蛮多。　　王冰冰抱着手机坐在一旁把刚才拍的照片发了朋友圈，并且配图：汤好好喝呀！　　梁书儿浑然不觉，等着奶茶送过来的时候她挨个给了几人，最后一杯放在了王娇的桌子旁，然后爬上床睡觉。　　其他三人的床周围都有一层布帘子，感觉很有安全感，梁书儿看了一眼，想着等睡醒之后她也要买一个。　　下午还有课，梁书儿也没有睡多久，特意提前定了闹钟起来，这次可不能再迟到了。　　下午的课依旧是在设计院，梁书儿到的时候虽然还困，可比早上好多了，起码是有精神听课了。　　只不过让她没想到的是她竟然在教室看到了先她出来的王冰冰，对方看到她也是一愣，随后招了一下手：“梁书儿，这里。”　　梁书儿脚步顿了下，到底还是走了过去。　　“原来你也是设计院的啊。”王冰冰问。　　“嗯。”梁书儿点头：“你也是？”　　她还以为她也是学医的。　　“对啊，就王娇跟李梦两人是研究生，我可不是。”王冰冰说。　全文请到公#众#号〖神山文学〗发个庄雅初邢墨亭，就行了,正面
《庄雅初邢墨亭》（最新全集完整章节大结局）《庄雅初邢墨亭》全文阅读笔趣阁❗书名：《庄雅初邢墨亭》庄雅初邢墨亭❗主角：庄雅初邢墨亭《庄雅初邢墨亭》全文请到公#众#号〖神山文学〗发个庄雅初邢墨亭，就行了　这样长期下去的话不会影响感情吧？　　想到陈意昨天还悄悄问她是不是跟江葎吵架了，不然为什么这几天江葎晚上都没回去，而是直接住在了医院。　　梁书儿有点发愁，她好想江葎，想要被他抱在怀里睡。　　【江医生，我想你了。】梁书儿给江葎发了条消息，刚退出来，手机叮叮叮的响了起来，是李梦拉了一个群，是他们宿舍的四个人，在群里问她们有时间没，有的话晚上一起吃个饭，熟悉熟悉一下。　　梁书儿知道这顿饭是因为她，其他三人早就认识了，她是新来的，要认识也只有她要认识。　　毕竟这一星期内，虽然她都住在宿舍，可是四人的作息和课程都不一样，所以基本都见不上几面，梁书儿见的最多的人是王冰冰，因为他们一个专业，经常在一个教师遇到。　　再就是李梦，最后是王娇，有几次梁书儿起床上厕所王娇的床上都没人。　　【好。】梁书儿一边打字回复一边往外走：【地方你们选吧，我请客。】　　关了手机，梁书儿很轻的呼了一口气。　　人际交往好累啊。　　如果是在国外，她会直接拒绝，至于拒绝后会不会被人说什么她都不在乎。　　可是现在她考虑的东西却是多了些。　　首先，她不是一个人了，她结婚了，有老公。　　更重要的是江葎还是海大的教授，虽然人不怎么来，而且现在看来学校这边的人好像都没有看过之前的采访，不知道他们的关系。　　即使如此，她也不能任性的想说什么就说什么，想做什么就做什么。　　毕竟要是她这边有个什么事，到时候连累到江葎就不好了。　　她以前懒得去交际，不会也不喜欢，也没有那个时间。　　可是现在的她跟以前不一样了，所以在有些事上面，梁书儿想，她也可以试着去改变、去尝试一下。　　人际交往是一个正常人正常的需求，所以她觉得她也可以的。　　李梦本来提议要去吃火锅，一是火锅大多人都会喜欢，二是火锅边吃边聊，在热腾腾的气氛中可以更好的拉近彼此的距离。　　可是最后王冰冰却说她最近上火不能吃火锅，然后直接发了一个餐厅的链接在群里，说是一家新开的西餐厅，味道很不错。　　梁书儿问了一下其他人的意见，李梦说有点贵，王娇则是都可以。　　人均一千往上的餐厅，梁书儿也不是请不起，喜欢吃就行，反正也不是天天请，所以最后定了这里。　　梁书儿跟李梦是最先到的，再然后是王娇，明明是来吃饭的，可她都还背着书包，坐下后立马拿出一本书在手里看着，很是争分夺秒。　　“她平时都这么用功的吗？”梁书儿忍不住问李梦。　全文请到公#众#号〖神山文学〗发个庄雅初邢墨亭，就行了,正面
《庄雅初邢墨亭》（《庄雅初邢墨亭》已完结完整版全集大结局小说）全文阅读笔趣阁❗书名：《庄雅初邢墨亭》庄雅初邢墨亭❗主角：庄雅初邢墨亭《庄雅初邢墨亭》全文请到公#众#号〖神山文学〗发个庄雅初邢墨亭，就行了　“怎么就贵了，人家梁书儿都没说什么你还替她心疼了？而且我本来都跟我男朋友说好了要一起来这吃的，是你忽然在群里约的。”　　梁书儿走过去，先是看了一眼李梦，冲她笑了笑，随后转头，看到了站在王冰冰身边的男人，忍不住愣了一下。　　这是梁书儿的男朋友？　　看着男人秃顶的头和微微隆起的肚子，梁书儿有几秒的沉默。　　如果不是刚才听到了李梦说这人是王冰冰的男朋友，她第一眼绝对以为对方是她的爸爸。　　梁书儿看向对方的同时，对方也在看她，目光让她有点不舒服。　　王冰冰挽着男人的胳膊转头看着梁书儿介绍：“亲爱的，这就是我跟你说过的那个心来的舍友，怎么样，长得好看吧？”　　“嗯。”男人的目光有点赤裸的落在梁书儿的脸上，笑着说：“的确很好看。”　　梁书儿皱眉，正要说什么，就见那男人低头在王冰冰的脸上亲了一口，说：“既然是你们舍友之间的聚会，我就不打扰了，正好我看到一个合作伙伴，我过去打个招呼，你们吃，我买单，随便点。”　　“谢谢亲爱的。”王冰冰丝毫不顾在大庭广众之下抱着人亲昵的亲了下。　　等人离开，王冰冰转头：“听到了吧，我男朋友买单，你们随便点。”　　她说着看向梁书儿：“这里的确挺贵的，今天就不用你请了，下次再请，吃火锅。”　　“没事。”梁书儿端过手边的水杯喝了一口：“说好我请的。”　　王冰冰笑了声：“刚才李梦还说我故意选了这里呢，我男朋友有钱，让他请吧，不然还真以为我喜欢占人便宜呢。”　　梁书儿很轻的皱了一下眉，正要说什么，一旁传来一阵高跟鞋的清脆响声，最后声音在她的身边停下。　　“梁书儿。”梁薇薇居高临下的看着：“真巧啊，你也来这里吃饭？”　　王冰冰转头：“这是……”　　“你是她的同学吧，我是她的姐姐。”梁薇薇很是友好的笑着说。　　“原来是姐姐啊，姐姐好。”李梦说：“姐姐要不要跟我们一起？”　　“不用。”　　“不用了。”　　前面是梁书儿说的，后面的是梁薇薇说的。　　王冰冰目光在两人的脸上扫了一圈，一眼就看出两人的关系不好。　　梁书儿转头：“你有事吗？”　　“没事啊。”梁薇薇笑着说：“我这几天快忙死了，今天是游川请我吃饭，就在上面，你要上去打个招呼吗？你跟游川好久没见了吧，爸爸说你小时候还说过长大后要嫁给他呢。”全文请到公#众#号〖神山文学〗发个庄雅初邢墨亭，就行了,正面
《庄雅初邢墨亭》（《庄雅初邢墨亭》小说全集完整大结局）全文阅读笔趣阁❗书名：《庄雅初邢墨亭》庄雅初邢墨亭❗主角：庄雅初邢墨亭《庄雅初邢墨亭》全文请到公#众#号〖神山文学〗发个庄雅初邢墨亭，就行了　她可不敢吃梁薇薇结账的东西，她怕她半夜会被送去医院。　　拿着小票转身正要回去，手机收到江葎发来的消息：【吃完了吗？】　　看完，想也没想的，梁书儿打字回复：【完了】　　说完她拿出手机一边给李梦打电话一边转身往外走：“喂，我有点事先回去了，账我已经结过了，你们慢慢吃，我今晚不回宿舍了……嗯，路上注意安全。”　　说完挂断，梁书儿迫不及待的拨通江葎的号码。　　身后的楼梯上，正往下走的梁薇薇看着梁书儿脸上的笑容，脸上的神色很冷。第899章江葎119　　停车场。　　江葎正在接电话，车窗忽然被敲响，转头就见梁书儿放大的脸正贴着车窗往里面看，眼睛睁的很大，睫毛根根分明，白皙的皮肤在车窗的滤镜下带上了一抹朦胧的美，乌黑的头发因为弯身的姿势从脸颊两边落下，衬得本就不大的脸越发的娇小。　　“你师娘来了，先挂了。”　　江葎说完挂断电话却是没有第一时间降下车窗，而是就着这个姿势盯着看了好几秒，唇边的笑意渐深。　　最后甚至还伸手张开五指贴着车覆上了梁书儿的脸，绰绰有余。哈　　梁书儿正要拿手机打电话，眼前的车窗终于被打开，好几天没见的人终于出现在了眼前。　　“江医生。”她惊喜的喊了一声，半个身子直接扑到了车窗里面紧紧的搂住了江葎的脖子，脑袋贴着他的脖子蹭了蹭，然后软软的撒娇：“我好想你啊。”　　许是饭吃的不是很愉快，先有王冰冰几次三番的阴阳怪气，后还看到了梁薇薇。　　所以梁书儿的语气带上了一丝自己都没察觉的委屈，显得有点可怜。　　江葎抬手在她的脖子上很轻的捏了一下，梁书儿松开了些。　　“我也是。”江葎说着扣着梁书儿的脖子把人压向自己用力的吻住。　　灼热的呼吸带着强烈的思念和冲动，口水的暧昧声交织在两人的耳边迟迟没有消散。　　梁书儿的大半个身子几乎都探到了车内，直到肚子被车窗咯的有点疼，她才哼哼了声把人给推开。　　男人的目光炙热而深邃，梁书儿看的脸皮一阵发烫。　　可偏偏在这个时候，梁书儿低头在他的鼻尖上亲了下，喊了声：“老公。”　　话落，成功看到男人在瞬间紧缩的瞳孔，梁书儿狡黠的笑了声，站直身绕过车头走到副驾驶座旁拉开车门坐进去。　　“你吃饭了吗？”她问着，拉过安全带正要系上。　全文请到公#众#号〖神山文学〗发个庄雅初邢墨亭，就行了,正面
【庄雅初邢墨亭】好看～热门小说～阅读-（庄雅初邢墨亭）笔趣阁❗书名：《庄雅初邢墨亭》庄雅初邢墨亭❗主角：庄雅初邢墨亭《庄雅初邢墨亭》全文请到公#众#号〖神山文学〗发个庄雅初邢墨亭，就行了　江葎却是忽然解开了自己身上的安全带探身过去接过了她手里的安全带，可却没立刻扣上，而是再次低头吻住了她。　　车厢内的温度越来越高，梁书儿的手死死的攥着男人胸前的衬衫，布料都跟着变了形。　　江葎最后把人松开的时候，梁书儿整个人被亲的跟一滩水似的的坐在那，眼眸水光潋滟，没什么威慑力的瞪了他一眼。　　江葎把她把安全带扣上，坐回去前在她的唇上重重的的亲了下，说：“没吃。”　　车子发动，离开停车场。　　不远处的电梯口，李梦跟王冰冰和王娇正走出来。　　“我刚才好像看到梁书儿了。”王冰冰看着已经消失在视线中的车尾，疑惑的问：“车内好像还有人，该不会就是她的男朋友吧。”　　“应该吧。”李梦没有看到。　　“你不是说她的男朋友长的很帅吗？都过来了怎么不上去？该不会是见不得人吧？”王冰冰笑着说。　　“你不相信就算了。”李梦说：“反正比你男朋友长得帅。”　　王冰冰：“你什么意思啊？”　　“没什么意思啊，我说的是实话，你到时见到了就知道了。”李梦说着转头看向王娇：“你回学校吗？我们一起？”　　“不了，我要去打工。”王娇说着已经径直转身离开。　　“我送你吧，我男朋友开车了。”王冰冰说。　　“算了，我坐地铁吧。”李梦说着转身要走，想到什么又回头看着王冰冰说：“我觉得梁书儿人挺好的，你以后别那么针对她了吧？”　　“你哪只眼睛看到我针对她了？”王冰冰脸色不怎么好看：“而且你跟她才认识多久啊就觉得人好了？”　　“你看到她刚才对她姐姐的态度没？她喜欢的人肯定喜欢她的姐姐，所以她才会那样对她姐，说话的语气我一个外人都看不过去。不过她姐的性格可真好啊，长的又好看，自己的妹妹那么不给面子她都一点也不生气，最后还要请我们吃饭，哎，我也好想要一个这样的姐姐。”　　“这是别人的家事具体怎么样我们又不知道，你以后还是别说了吧。”李梦说完直接离开了。　　“我想说什么就说什么你管得着嘛。”王冰冰冷哼了声，拿出手机打电话：“喂，亲爱的，你怎么还没下来啊，我腿都等酸了，对啊，我们吃完了，梁书儿？她走了啊……”　　……　　梁书儿是知道江葎在医院忙起来肯定是顾不上吃饭的，虽然在电话里答应的好好的，可梁书儿相信他肯定转头就忘了。　　所以到了家，她第一时间就想要去看看冰箱有什么，有菜的话就做个饭她正好可以一起吃点，刚才她都没怎么吃。　　要是没有的话就只能煮个面……　　煮面的念头在脑海里还没想完，梁书儿整个人就被拖住腰抱起来放到了一旁的鞋柜上坐着。　　“你做什么？”梁书儿有点害怕的抱住他的脖子，低头看着他笑着说：“这个角度还挺新鲜，你以后——唔！”　全文请到公#众#号〖神山文学〗发个庄雅初邢墨亭，就行了,正面
《庄雅初邢墨亭》（大结局完整版最新已完本）《庄雅初邢墨亭》小说全文阅读❗书名：《庄雅初邢墨亭》庄雅初邢墨亭❗主角：庄雅初邢墨亭《庄雅初邢墨亭》全文请到公#众#号〖神山文学〗发个庄雅初邢墨亭，就行了　“你今天有课吗？”王冰冰问：“在哪个教室，我去找你。”　　这还是梁书儿第一次来医学院这边，不怎么熟，正想要找人问问，可想到她现在还在通电话。　　“你到底有什么事？不说的话我挂了。”　　“很重要的事，需要当面说。”王冰冰的语气也有点不好了：“梁书儿，我说了我去找你，又不会耽误你的时间。话说你真的在上课吗？我怎么听你不像是在教师的样子？”　　梁书儿皱眉，没什么耐心跟她继续说下去：“我还有事，先挂了。”　　说完不等那头说话，梁书儿直接掐断了电话。　　挂角处走过来一个人，梁书儿快步走过去：“同学，你好，请问一下A3公开课教室在哪啊？”　　黎杰脚步一顿，看着梁书儿的眼睛慢慢睁大。　　见对方不说话，梁书儿又喊了一声：“同学？”　　黎杰快速拿出手机点了几下找到一个视频点开，然后看看手机里的人又看看眼前的人，睁大的眼睛里慢慢的涌现出惊喜。　　梁书儿听着从对方手机里传来的熟悉的采访声，她先是愣了一下，随后忙左右看了一眼，小声的问：“你认识我？”　　很显然，对方这目光绝对认识她。　　而且他此时手机里正播放的视频不用看梁书儿都知道是自己的采访。　　这有些话还真是不能说啊，才说完，就被人认了出来。　　“当然认识。”黎杰把手机里的采访拿给梁书儿看，直接问：“这里面的人是你吧？”　　“……是。”　　“我就知道我没认错。”黎杰很是高兴的说。　　“……”梁书儿咳嗽了一声，再次问：“同学，能问一下A3公开课教室在哪里吗？”　　她要是再在这磨蹭一会，江医生那边不会都结束了吧。　　谁曾想她话刚落，黎杰笑着说：“我也要过去，一起吧。”　　“啊真的吗？”梁书儿很是高兴：“谢谢，谢谢，我们快走吧。”　　看着梁书儿着急的样子，黎杰一边走一边笑着问：“你是要去听老师的课吗？”　　“老师？”是说的江医生吧？　　既然对方都看到采访了，梁书儿也没有什么好隐瞒的了。　　“对呀。”梁书儿点头，同时问：“同学，你也是吗？”　全文请到公#众#号〖神山文学〗发个庄雅初邢墨亭，就行了,正面
《庄雅初邢墨亭》(全集小说/完整版)庄雅初邢墨亭全文阅读笔趣阁❗书名：《庄雅初邢墨亭》庄雅初邢墨亭❗主角：庄雅初邢墨亭《庄雅初邢墨亭》全文请到公#众#号〖神山文学〗发个庄雅初　　师娘？？　　师娘？？？　　梁书儿站在原地看着黎杰脸上的笑好一会没有反应过来。　　黎杰忍着笑问：“师娘你之前不是还接过我的电话吗？不记得了吗？”　　当然记得，怎么不记得。　　被他这么一提醒，那天早上的记忆瞬间涌入梁书儿的脑海中。　　一样的生意，一样的称呼。　　她刚才竟然完全没有你想起来！　　而且他还一口一个老师的喊江葎，说话的口吻和语气明显就不是普通的学生啊，她竟然一点都没听出来，脑子是落在家里忘记带出来了吗？　　“所以你就是江葎带的那个学生？”梁书儿艰难的问。　　“对。”黎杰笑着点头，退后一步冲梁书儿鞠了一躬：“师娘，你好，我叫黎杰，是江老师的学生，当然也是江老师唯一的一个学生。”　　梁书儿被他这举动吓的往后退了一步：“……倒也不必行这么大的礼。”　　“要的。”黎杰说：“虽然我没想到师娘你会这么年轻，但该有的礼仪肯定是要有的，老师可是难得结一次婚呢。”　　什么叫难得结一次婚？　　这话听着怎么怪怪的？　　不过想到刚才自己都说了什么话，梁书儿简直想要找个地洞钻进去。　　简直是太丢脸了！　　“你既然早就认识我，为什么不说？”梁书儿板着脸问，她怀疑他是故意的。　　“我没想到老师竟然没有跟师娘你提过我。”黎杰的语气显得有点委屈：“我还以为我说了我的名字之后师娘你会知道我呢。”　　“……”这怎么感觉成了她的错了？　　手机忽然响起，是江葎打来的电话。　　梁书儿忙接通：“喂。”　　“在哪？”江葎的声音透过手机电波传来，隐约似乎有点急。　　“我在……”梁书儿往四周看了一眼，正要说话，身后忽然传来一道声音：“梁书儿？”　　王冰冰快速跑过来，先是看了看梁书儿，随后看向站在一旁的黎杰，先是一愣，眼底同时闪过一丝惊讶。　邢墨亭，就行了全文请到公#众#号〖神山文学〗发个庄雅初邢墨亭，就行了,正面
《庄雅初邢墨亭》（《庄雅初邢墨亭》小说全集完整大结局）全文阅读笔趣阁❗书名：《庄雅初邢墨亭》庄雅初邢墨亭❗主角：庄雅初邢墨亭《庄雅初邢墨亭》全文请到公#众#号〖神山文学〗发个庄雅初邢墨亭，就行了　下一秒就见她看着梁书儿皱眉问：“你不是跟我说你在上课吗？你怎么会在这里？”　　“还有，你怎么会跟黎杰认识？你们是什么关系？”　　王冰冰问的很直接，看着两人的目光也让梁书儿不是很舒服。　　梁书儿没有回答她的话，而是对还没挂断的电话说：“我在教室外面，就有一排银杏树的这边。”　　听着梁书儿的语气，王冰冰看了一眼黎杰，声音有点大的问梁书儿：“谁啊，你男朋友吗？”　　说着不等梁书儿说话，她转头看向黎杰，笑着说：“学长，你该不会喜欢我舍友吧，她可是有男朋友的。”　　黎杰一听脸色大变。　　“这位同学，你误会了。”　　这话可不能乱说，老师要是听到的话他就完蛋了！　　梁书儿挂断电话，目光看向王冰冰，脸上的神色有点冷：“你找我有什么事吗？”　　“我请你吃饭吧。”王冰冰笑着说：“上次是你请的，这次换我，我也叫了王娇和李梦。”　　梁书儿想也没想的拒绝：“不好意思，我今天没时间。”第905章江葎125　　“你是约了你男朋友吗？”王冰冰问：“你跟他说一声，就说跟我们去吃饭，反正你跟你男朋友多的是机会相处嘛不是吗？”　　她说完见一旁的黎杰一直没离开，笑着问：“学长，你跟书儿是怎么认识的，你们在这是在要干什么呢？”　　黎杰闻言看向梁书儿，一声“师娘”正要脱口而出，梁书儿却是打断了她的话：“巧合，正好遇到。”　　“这样啊。”王冰冰点头，看着梁书儿笑着说：“我就说嘛，你都有男朋友了，怎么会跟学长有关系呢。”　　说完不等梁书儿说话，她过来挽住她的手亲昵的说：“走嘛走嘛，我位置都定好了，你不会这点面子都不给吧？”　　梁书儿拉开她的手，虚假的笑容都懒得维持了。　　“实在是不好意思，我跟我男朋友好久没见了，我今天要陪我男朋友。”　　梁书儿话落，抬头就见江葎正往这边走来。　　黎杰也看到了，第一时间喊了声：“老师！”　　梁书儿转头看向黎杰，笑着说：“你刚才不是说要找你老师问问题吗？还不快去？”　　黎杰一愣，一时间没反应过来梁书儿是什么意思。　全文请到公#众#号〖神山文学〗发个庄雅初邢墨亭，就行了,正面
王冰冰,负面
王冰冰超话下下周有一个普通话考试，冰冰保佑我上一级,负面
嗯啊，李金铭这件事感觉似曾相识啊，很像土土，徐嘉余，王冰冰那件事,正面
[HO加油][HO加油]22-23年是水日主的食伤年比劫食伤本身就代表舆论八卦与是非。所以这两年好多壬癸水女明星上热搜。。。王楚然，王冰冰，Jennie，虞书欣，张元英等等。。[HO加油]，身强的属于吸粉，流量娱乐度都有了，身弱属于是躺着也中枪，因为不实传言名声受损。去年写了欣欣子今年的作品可能容易招黑，年初上的永夜星河好像争议就蛮大的。,正面
王若顿超话#顿顿老师##awe2024#3月16日顿顿和总台记者王冰冰一起逛展@王若顿,正面
追星代拍周边中转超话出愚人节机场活动旧图部分有的活动无口罩上下班陈牧驰黄子弘凡文俊辉李克勤蔡文静焉栩嘉何洛洛于朦胧周深苏醒王铮亮陆虎张远侯雯元辛芷蕾（春晚酒店带妆王阳黄轩汪苏泷黄曦彦刘宇宁）曹恩齐玲花王星越白敬亭秦岚单依纯赵让林一刘浩存张翰肖宇梁陈星旭陈立农陈数金晨周柯宇张婧仪甘望星任子威王安宇王鹤棣许凯段奥娟俞灏明赵露思曾毅许汉光余景天刘惜君魏大勋王冰冰陈永胜付辛博阿娇赵又廷夏之光哈妮克孜宋轶王凯倪妮江疏影尹正贾静雯谢锐韬tt早安吴磊万鹏关晓彤罗一舟二辰周九良机场出发到达图频活动上下班图无口罩部分,正面
追星代拍周边中转超话出愚人节机场活动旧图部分有的活动无口罩上下班陈牧驰黄子弘凡文俊辉李克勤蔡文静焉栩嘉何洛洛于朦胧周深苏醒王铮亮陆虎张远侯雯元辛芷蕾（春晚酒店带妆王阳黄轩汪苏泷黄曦彦刘宇宁）曹恩齐玲花王星越白敬亭秦岚单依纯赵让林一刘浩存张翰肖宇梁陈星旭陈立农陈数金晨周柯宇张婧仪甘望星任子威王安宇王鹤棣许凯段奥娟俞灏明赵露思曾毅许汉光余景天刘惜君魏大勋王冰冰陈永胜付辛博阿娇赵又廷夏之光哈妮克孜宋轶王凯倪妮江疏影尹正贾静雯谢锐韬tt早安吴磊万鹏关晓彤罗一舟二辰周九良机场出发到达图频活动上下班图无口罩部分,正面
李金铭这次让我想到当时王冰冰和徐嘉余那件事了，两位前女友上来就是指责别的女生知三当三，对她们亲亲男友是一个字都不舍得骂这世界简直就是一个巨大的爱丁堡和大婆娇妻,负面
【喜报送上门军人军属共享荣耀时刻】连日来，多地退役军人事务部门、人武部分别派出代表，将立功喜报和牌匾送到立功军人家中，让军人军属共享荣誉和喜悦。（董蓝琳郭伟刘廷耀赵爱红何舜邓小松王冰冰）#我为中国军人点赞#L中国军视网的微博视频,正面
